"id","deviceid","currentspl","sampletime"
1,"3a0027001647343339383037",64,"2018-04-27 16:00:10-05"
2,"3a0027001647343339383037",63,"2018-04-27 16:06:30-05"
3,"3a0027001647343339383037",61,"2018-04-27 16:06:40-05"
4,"3a0027001647343339383037",63,"2018-04-27 16:06:50-05"
5,"3a0027001647343339383037",62,"2018-04-27 16:07:00-05"
6,"3a0027001647343339383037",64,"2018-04-27 16:07:10-05"
7,"3a0027001647343339383037",63,"2018-04-27 16:07:20-05"
8,"3a0027001647343339383037",63,"2018-04-27 16:07:31-05"
9,"3a0027001647343339383037",62,"2018-04-27 16:07:40-05"
10,"3a0027001647343339383037",65,"2018-04-27 16:07:50-05"
11,"3a0027001647343339383037",64,"2018-04-27 16:08:01-05"
12,"3a0027001647343339383037",62,"2018-04-27 16:08:11-05"
13,"3a0027001647343339383037",61,"2018-04-27 16:08:21-05"
14,"3a0027001647343339383037",61,"2018-04-27 16:08:31-05"
15,"3a0027001647343339383037",62,"2018-04-27 16:08:41-05"
16,"3a0027001647343339383037",62,"2018-04-27 16:08:51-05"
17,"3a0027001647343339383037",63,"2018-04-27 16:09:01-05"
18,"3a0027001647343339383037",63,"2018-04-27 16:09:11-05"
19,"3a0027001647343339383037",61,"2018-04-27 16:09:21-05"
20,"3a0027001647343339383037",62,"2018-04-27 16:09:31-05"
21,"3a0027001647343339383037",64,"2018-04-27 16:09:41-05"
22,"3a0027001647343339383037",64,"2018-04-27 16:09:51-05"
23,"3a0027001647343339383037",64,"2018-04-27 16:10:01-05"
24,"3a0027001647343339383037",62,"2018-04-27 16:10:11-05"
25,"3a0027001647343339383037",62,"2018-04-27 16:10:30-05"
26,"3a0027001647343339383037",61,"2018-04-27 16:10:40-05"
27,"3a0027001647343339383037",63,"2018-04-27 16:10:50-05"
28,"3a0027001647343339383037",60,"2018-04-27 16:11:00-05"
29,"3a0027001647343339383037",62,"2018-04-27 16:11:10-05"
30,"3a0027001647343339383037",66,"2018-04-27 16:11:20-05"
31,"3a0027001647343339383037",62,"2018-04-27 16:11:30-05"
32,"3a0027001647343339383037",64,"2018-04-27 16:11:40-05"
33,"3a0027001647343339383037",71,"2018-04-27 16:11:51-05"
34,"3a0027001647343339383037",59,"2018-04-27 16:12:01-05"
35,"3a0027001647343339383037",63,"2018-04-27 16:12:11-05"
36,"3a0027001647343339383037",66,"2018-04-27 16:12:21-05"
37,"3a0027001647343339383037",64,"2018-04-27 16:12:31-05"
38,"3a0027001647343339383037",62,"2018-04-27 16:12:41-05"
39,"3a0027001647343339383037",62,"2018-04-27 16:12:51-05"
40,"3a0027001647343339383037",70,"2018-04-27 16:13:01-05"
41,"3a0027001647343339383037",65,"2018-04-27 16:13:11-05"
42,"3a0027001647343339383037",64,"2018-04-27 16:13:21-05"
43,"3a0027001647343339383037",64,"2018-04-27 16:13:31-05"
44,"3a0027001647343339383037",60,"2018-04-27 16:13:40-05"
45,"3a0027001647343339383037",61,"2018-04-27 16:13:51-05"
46,"3a0027001647343339383037",62,"2018-04-27 16:14:00-05"
47,"3a0027001647343339383037",62,"2018-04-27 16:14:10-05"
48,"3a0027001647343339383037",62,"2018-04-27 16:14:20-05"
49,"3a0027001647343339383037",61,"2018-04-27 16:14:30-05"
50,"3a0027001647343339383037",61,"2018-04-27 16:14:40-05"
51,"3a0027001647343339383037",62,"2018-04-27 16:14:50-05"
52,"3a0027001647343339383037",71,"2018-04-27 16:15:01-05"
53,"3a0027001647343339383037",63,"2018-04-27 16:15:10-05"
54,"3a0027001647343339383037",64,"2018-04-27 16:15:20-05"
55,"3a0027001647343339383037",60,"2018-04-27 16:15:30-05"
56,"3a0027001647343339383037",62,"2018-04-27 16:15:41-05"
57,"3a0027001647343339383037",63,"2018-04-27 16:15:51-05"
58,"3a0027001647343339383037",61,"2018-04-27 16:16:01-05"
59,"3a0027001647343339383037",61,"2018-04-27 16:16:11-05"
60,"3a0027001647343339383037",62,"2018-04-27 16:16:21-05"
61,"3a0027001647343339383037",62,"2018-04-27 16:16:31-05"
62,"3a0027001647343339383037",62,"2018-04-27 16:16:41-05"
63,"3a0027001647343339383037",64,"2018-04-27 16:16:51-05"
64,"3a0027001647343339383037",62,"2018-04-27 16:17:01-05"
65,"3a0027001647343339383037",61,"2018-04-27 16:17:10-05"
